/docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
/docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
/docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
10-listen-on-ipv6-by-default.sh: info: can not modify /etc/nginx/conf.d/default.conf (read-only file system?)
/docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
/docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
/docker-entrypoint.sh: Configuration complete; ready for start up
2025/12/22 10:02:16 [notice] 1#1: using the "epoll" event method
2025/12/22 10:02:16 [notice] 1#1: nginx/1.29.4
2025/12/22 10:02:16 [notice] 1#1: built by gcc 14.2.0 (Debian 14.2.0-19) 
2025/12/22 10:02:16 [notice] 1#1: OS: Linux 6.8.0-90-generic
2025/12/22 10:02:16 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2025/12/22 10:02:16 [notice] 1#1: start worker processes
2025/12/22 10:02:16 [notice] 1#1: start worker process 21
2025/12/22 10:02:16 [notice] 1#1: start worker process 22
193.142.147.209 - - [22/Dec/2025:10:02:17 +0000] "POST / HTTP/1.1" 404 24 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/041616945776c1a7.js HTTP/2.0" 200 13663 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/turbopack-79a366fd6eda3aae.js HTTP/2.0" 200 3899 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/ff1a16fafef87110.js HTTP/2.0" 200 282 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/1b90e3650e82f53e.js HTTP/2.0" 200 9717 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/c81db6e24f0cfdeb.js HTTP/2.0" 200 6921 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/d3964912ab9750cf.js HTTP/2.0" 200 8620 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/b2ec40b36db7ab12.js HTTP/2.0" 200 1543 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/image?url=%2Fsealai_logo_header.png&w=64&q=75 HTTP/2.0" 200 1878 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/c6ad06f0e3276a98.js HTTP/2.0" 200 67472 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /_next/static/chunks/1163076da3cedd23.js HTTP/2.0" 200 53752 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /api/auth/session HTTP/2.0" 200 2726 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /favicon.ico?favicon.0b3bf435.ico HTTP/2.0" 200 25931 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /api/v1/langgraph/state?thread_id=thread-aa206ab1-e426-4914-a1d7-8b11d0143243 HTTP/2.0" 200 385 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:04:14 +0000] "GET /api/v1/chat/conversations HTTP/1.1" 200 2 "-" "node" "-"
93.245.170.76 - - [22/Dec/2025:10:04:14 +0000] "GET /api/conversations HTTP/2.0" 200 2 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /api/auth/sso-logout HTTP/2.0" 307 0 "https://sealai.net/chat/c1450dea-de12-47db-8abb-cd790a71d64a" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /realms/sealAI/protocol/openid-connect/logout?client_id=nextauth&post_logout_redirect_uri=https%3A%2F%2Fsealai.net%2Fauth%2Fsigned-out&id_token_hint=eyJhbGciOiJSUzI1NiIsInR5cCIgOiAiSldUIiwia2lkIiA6ICJVcnhGelM4MlRjMmlTcWJObEVrYnp3TllSbk1HVU1NSDdHeGE4YVg5aldBIn0.eyJleHAiOjE3NjYzOTgxNTIsImlhdCI6MTc2NjM5Nzg1MiwiYXV0aF90aW1lIjoxNzY2MzQ0NDk4LCJqdGkiOiJmMjU3NDMyYS1hZGFiLTQzNjUtOGJkNi02YTg0YzlhNGQzZmIiLCJpc3MiOiJodHRwczovL2F1dGguc2VhbGFpLm5ldC9yZWFsbXMvc2VhbEFJIiwiYXVkIjoibmV4dGF1dGgiLCJzdWIiOiI3YTg4MjE1OS01NTIzLTRhZTItYTljZi1iMWEwMzM0MGQ3NjgiLCJ0eXAiOiJJRCIsImF6cCI6Im5leHRhdXRoIiwic2lkIjoiMjAwMGE5ODktOTM1Yy00M2NlLTljNWYtYmNkZGE4YjcwMmIwIiwiYXRfaGFzaCI6IjVHc2ZKR1RGUmtnXzlzVUlIZjZnMFEiLCJhY3IiOiIxIiwiZW1haWxfdmVyaWZpZWQiOnRydWUsIm5hbWUiOiJUaG9yc3RlbiBKdW5nIiwicHJlZmVycmVkX3VzZXJuYW1lIjoianVuZ3Q3MiIsImdpdmVuX25hbWUiOiJUaG9yc3RlbiIsImZhbWlseV9uYW1lIjoiSnVuZyIsImVtYWlsIjoibWFpbEB0aG9yc3Rlbi1qdW5nLmRlIn0.1jR-XgqBnj5jJ2xKarCp5sfw1QlD5uIha5091KQ1AVoGLzaTSJBEKGWqRd3bwIVPk1nY70y2UMmfHx70ukFIRqH5QEkHejB4_enTjOOkB6kVff0H0weqdmk6UapvHbv9K3hd2lTNWv694SHfEO3xy7qO_oamIf77L20HRM5b5Y5VaNNp9CNrueUpeZmLbdkJAcgP2PR8JVpI43iP0PMOFxR6rkcHNb2yIFpX1ZQ6N5NeSGJL40TSoDZQ_jRPBqWpfogSVI2UbX_h4hvqa7wa4k8oa5mXdy33Xrv2WWnZCvOYkn78gRBfFdmzMcEe9-vU5r8ZgmCI8qY9_yvRbyOs2g HTTP/2.0" 302 0 "https://sealai.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /auth/signed-out HTTP/2.0" 200 2271 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /api/auth/csrf HTTP/2.0" 200 80 "https://sealai.net/auth/signed-out" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /api/auth/session HTTP/2.0" 200 2726 "https://sealai.net/auth/signed-out" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "POST /api/auth/signout HTTP/2.0" 200 44 "https://sealai.net/auth/signed-out" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /api/auth/session HTTP/2.0" 200 2 "https://sealai.net/auth/signed-out" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /auth/signin?_rsc=1evpv HTTP/2.0" 200 1524 "https://sealai.net/auth/signed-out" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:16 +0000] "GET /auth/signin?_rsc=djfcu HTTP/2.0" 200 1524 "https://sealai.net/auth/signed-out" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:18 +0000] "GET /api/auth/providers HTTP/2.0" 200 183 "https://sealai.net/auth/signin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:18 +0000] "GET /api/auth/csrf HTTP/2.0" 200 80 "https://sealai.net/auth/signin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:04:18 +0000] "GET /realms/sealAI/.well-known/openid-configuration HTTP/1.1" 200 6009 "-" "openid-client/5.7.1 (https://github.com/panva/openid-client)" "-"
93.245.170.76 - - [22/Dec/2025:10:04:18 +0000] "POST /api/auth/signin/keycloak HTTP/2.0" 200 371 "https://sealai.net/auth/signin" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:18 +0000] "GET /realms/sealAI/protocol/openid-connect/auth?client_id=nextauth&scope=openid%20profile%20email%20offline_access&response_type=code&redirect_uri=https%3A%2F%2Fsealai.net%2Fapi%2Fauth%2Fcallback%2Fkeycloak&state=ry0Jdaxii_Lcp50h2sbuYkg0Nw1_sj957XGOn1v62tE&code_challenge=YWq-IxN7RrlDlsj_OdG9cw4yGTDhgnwsUHWLkalECzI&code_challenge_method=S256 HTTP/2.0" 200 8267 "https://sealai.net/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "POST /realms/sealAI/login-actions/authenticate?session_code=vbCzwFyRBnDB207-OuMeg9GsD6Wb4LbQ9fa3qUpowvY&execution=414064ff-5e30-477b-b374-5dac3a046604&client_id=nextauth&tab_id=E9yDS9fgFPA&client_data=eyJydSI6Imh0dHBzOi8vc2VhbGFpLm5ldC9hcGkvYXV0aC9jYWxsYmFjay9rZXljbG9hayIsInJ0IjoiY29kZSIsInN0IjoicnkwSmRheGlpX0xjcDUwaDJzYnVZa2cwTncxX3NqOTU3WEdPbjF2NjJ0RSJ9 HTTP/2.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:04:26 +0000] "GET /realms/sealAI/.well-known/openid-configuration HTTP/1.1" 200 6009 "-" "openid-client/5.7.1 (https://github.com/panva/openid-client)" "-"
172.18.0.1 - nextauth [22/Dec/2025:10:04:26 +0000] "POST /realms/sealAI/protocol/openid-connect/token HTTP/1.1" 200 3454 "-" "openid-client/5.7.1 (https://github.com/panva/openid-client)" "-"
172.18.0.1 - - [22/Dec/2025:10:04:26 +0000] "GET /realms/sealAI/protocol/openid-connect/certs HTTP/1.1" 200 2917 "-" "openid-client/5.7.1 (https://github.com/panva/openid-client)" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /api/auth/callback/keycloak?state=ry0Jdaxii_Lcp50h2sbuYkg0Nw1_sj957XGOn1v62tE&session_state=f8dc4b78-f168-4238-b47d-cd18335db151&iss=https%3A%2F%2Fauth.sealai.net%2Frealms%2FsealAI&code=6cb47063-b876-4772-a147-375aee3de8a2.f8dc4b78-f168-4238-b47d-cd18335db151.c9267ac2-a7dc-4a62-ba11-25d932a8f8a2 HTTP/2.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /chat HTTP/2.0" 200 3731 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /api/auth/session HTTP/2.0" 200 2726 "https://sealai.net/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /chat/1532b701-a464-458f-a433-f5fee2850b5f?_rsc=1v3us HTTP/2.0" 200 1176 "https://sealai.net/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /api/conversations HTTP/2.0" 499 0 "https://sealai.net/chat" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /api/v1/langgraph/state?thread_id=thread-aa206ab1-e426-4914-a1d7-8b11d0143243 HTTP/2.0" 200 385 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:04:26 +0000] "GET /api/v1/chat/conversations HTTP/1.1" 200 2 "-" "node" "-"
172.18.0.1 - - [22/Dec/2025:10:04:26 +0000] "GET /api/v1/chat/conversations HTTP/1.1" 200 2 "-" "node" "-"
93.245.170.76 - - [22/Dec/2025:10:04:26 +0000] "GET /api/conversations HTTP/2.0" 200 2 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:04:29 +0000] "POST /api/v1/langgraph/chat/v2 HTTP/1.1" 200 284 "-" "node" "-"
93.245.170.76 - - [22/Dec/2025:10:04:29 +0000] "POST /api/chat HTTP/2.0" 200 272 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:04:29 +0000] "GET /api/v1/langgraph/state?thread_id=thread-aa206ab1-e426-4914-a1d7-8b11d0143243 HTTP/2.0" 200 385 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:05:28 +0000] "GET /api/auth/session HTTP/2.0" 200 2726 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:05:34 +0000] "POST /api/v1/langgraph/chat/v2 HTTP/1.1" 200 284 "-" "node" "-"
93.245.170.76 - - [22/Dec/2025:10:05:34 +0000] "POST /api/chat HTTP/2.0" 200 272 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:05:35 +0000] "GET /api/v1/langgraph/state?thread_id=thread-aa206ab1-e426-4914-a1d7-8b11d0143243 HTTP/2.0" 200 385 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
93.245.170.76 - - [22/Dec/2025:10:05:47 +0000] "GET /api/auth/session HTTP/2.0" 200 2726 "https://sealai.net/chat/1532b701-a464-458f-a433-f5fee2850b5f" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36 Edg/143.0.0.0" "-"
172.18.0.1 - - [22/Dec/2025:10:09:48 +0000] "GET /api/v1/langgraph/health HTTP/2.0" 200 28 "-" "curl/8.5.0" "-"
172.18.0.1 - - [22/Dec/2025:10:09:54 +0000] "POST /api/chat HTTP/2.0" 401 100 "-" "curl/8.5.0" "-"
